0.567,1.30E-40
0.581,5.78E-42
0.594,1.73E-42
0.608,7.92E-43
0.622,4.22E-43
0.637,2.47E-43
0.652,1.58E-43
0.667,1.08E-43
0.683,7.57E-44
0.699,5.52E-44
0.715,4.15E-44
0.732,3.19E-44
0.749,2.50E-44
0.766,2.00E-44
0.784,1.63E-44
0.803,1.34E-44
0.821,1.11E-44
0.841,9.41E-45
0.86,8.04E-45
0.88,6.91E-45
0.901,6.01E-45
0.922,5.28E-45
0.944,4.67E-45
0.966,4.15E-45
0.988,3.73E-45
1.01,3.37E-45
1.04,3.05E-45
1.06,2.79E-45
1.08,2.56E-45
1.11,2.37E-45
1.14,2.20E-45
1.16,2.04E-45
1.19,1.91E-45
1.22,1.80E-45
1.25,1.69E-45
1.28,1.60E-45
1.3,1.52E-45
1.34,1.45E-45
1.37,1.38E-45
1.4,1.33E-45
1.43,1.27E-45
1.46,1.23E-45
1.5,1.18E-45
1.53,1.14E-45
1.57,1.11E-45
1.61,1.08E-45
1.64,1.05E-45
1.68,1.02E-45
1.72,9.98E-46
1.76,9.76E-46
1.8,9.56E-46
1.85,9.38E-46
1.89,9.21E-46
1.93,9.06E-46
1.98,8.91E-46
2.03,8.78E-46
2.07,8.66E-46
2.12,8.55E-46
2.17,8.45E-46
2.22,8.36E-46
2.27,8.27E-46
2.33,8.19E-46
2.38,8.11E-46
2.44,8.05E-46
2.49,7.99E-46
2.55,7.93E-46
2.61,7.87E-46
2.67,7.83E-46
2.74,7.78E-46
2.8,7.74E-46
2.87,7.69E-46
2.93,7.65E-46
3,7.62E-46
3.07,7.58E-46
3.14,7.55E-46
3.22,7.52E-46
3.29,7.49E-46
3.37,7.46E-46
3.45,7.43E-46
3.53,7.40E-46
3.61,7.38E-46
3.7,7.35E-46
3.78,7.32E-46
3.87,7.29E-46
3.96,7.26E-46
4.06,7.23E-46
4.15,7.20E-46
4.25,7.16E-46
4.35,7.13E-46
4.45,7.09E-46
4.55,7.06E-46
4.66,7.02E-46
4.77,6.98E-46
4.88,6.94E-46
4.99,6.89E-46
5.11,6.85E-46
5.23,6.80E-46
5.35,6.74E-46
5.48,6.69E-46
5.61,6.63E-46
5.74,6.56E-46
5.87,6.50E-46
6.01,6.42E-46
6.15,6.34E-46
6.29,6.26E-46
6.44,6.18E-46
6.59,6.10E-46
6.75,6.02E-46
6.91,5.95E-46
7.07,5.87E-46
7.23,5.80E-46
7.4,5.73E-46
7.58,5.66E-46
7.75,5.60E-46
7.93,5.53E-46
8.12,5.47E-46
8.31,5.40E-46
8.5,5.34E-46
8.7,5.28E-46
8.91,5.22E-46
9.12,5.17E-46
9.33,5.11E-46
9.55,5.06E-46
9.77,5.00E-46
10,4.93E-46
10.2,4.84E-46
11,4.05E-46
11.8,3.27E-46
12.6,2.67E-46
13.5,2.21E-46
14.5,1.85E-46
15.5,1.58E-46
16.6,1.37E-46
17.8,1.21E-46
19.1,1.08E-46
20.5,9.77E-47
22,8.93E-47
23.6,8.25E-47
25.3,7.69E-47
27.1,7.24E-47
29,6.88E-47
31.1,6.58E-47
33.4,6.34E-47
35.8,6.15E-47
38.4,6.00E-47
41.1,5.89E-47
44.1,5.82E-47
47.3,5.78E-47
50.7,5.77E-47
54.3,5.78E-47
58.2,5.83E-47
62.4,5.90E-47
66.9,5.99E-47
71.7,6.11E-47
76.9,6.25E-47
82.4,6.42E-47
88.4,6.61E-47
94.7,6.83E-47
102,7.08E-47
109,7.35E-47
117,7.65E-47
125,7.98E-47
134,8.34E-47
144,8.74E-47
154,9.17E-47
165,9.63E-47
177,1.01E-46
190,1.07E-46
204,1.13E-46
218,1.19E-46
234,1.26E-46
251,1.33E-46
269,1.41E-46
288,1.50E-46
309,1.59E-46
331,1.69E-46
355,1.79E-46
381,1.91E-46
408,2.03E-46
437,2.16E-46
469,2.30E-46
503,2.45E-46
539,2.61E-46
578,2.79E-46
619,2.97E-46
664,3.17E-46
712,3.39E-46
763,3.62E-46
818,3.87E-46
877,4.13E-46
940,4.41E-46
1010,4.72E-46
1080,5.04E-46
1160,5.39E-46
1240,5.77E-46
1330,6.17E-46
1430,6.60E-46
1530,7.06E-46
1640,7.56E-46
1760,8.09E-46
1880,8.66E-46
2020,9.27E-46
2170,9.92E-46
2320,1.06E-45
2490,1.14E-45
2670,1.22E-45
2860,1.30E-45
3070,1.40E-45
3290,1.50E-45
3520,1.60E-45
3780,1.72E-45
4050,1.84E-45
4340,1.97E-45
4650,2.11E-45
4990,2.26E-45
5350,2.42E-45
5730,2.60E-45
6150,2.78E-45
6590,2.98E-45
7060,3.19E-45
7570,3.42E-45
8120,3.67E-45
8700,3.93E-45
9330,4.21E-45
10000,4.52E-45
