,mass,exp,exp_1m,exp_2m,exp_1p,exp_2p
0,15,2.945434533303096e-46,1.6137974901058512e-46,1.0229653114506738e-46,5.603400503374554e-46,1.0154567119249867e-45
1,20,2.4332027448595414e-47,1.4139626554171522e-47,9.279277499151061e-48,4.386921044017218e-47,7.639936915237804e-47
2,25,7.768339897499825e-48,4.6554744376154824e-48,3.32454018435787e-48,1.356991359128154e-47,2.302109130632287e-47
3,30,4.0239904006663033e-48,2.44280285198687e-48,1.6048201442281017e-48,6.998023405111672e-48,1.1794032377051891e-47
4,40,2.1495120476688496e-48,1.3220468892874457e-48,8.886849759866449e-49,3.6425196894882356e-48,6.05150832364971e-48
5,50,1.6126626161290828e-48,1.0131916536584366e-48,6.909584929124717e-49,2.7137554965346816e-48,4.451184545183329e-48
6,60,1.40521180510162e-48,9.002223073762364e-49,6.210662157510674e-49,2.3487551328197435e-48,3.854334101094003e-48
7,70,1.3150387001450464e-48,8.384042026370806e-49,5.756355721960911e-49,2.1833945224635744e-48,3.559525256277807e-48
8,80,1.2850841653937042e-48,8.039019365655328e-49,5.439388597176091e-49,2.1290606831513496e-48,3.452034336859347e-48
9,100,1.2925101731137307e-48,8.099228475327792e-49,5.480594600159569e-49,2.1316981117724666e-48,3.44107410463979e-48
10,150,1.4656077870854756e-48,9.20497585128402e-49,6.2948144543826034e-49,2.4021376933050556e-48,3.852944407647612e-48
11,200,1.6976028855457744e-48,1.0872297981207427e-48,7.585230181815881e-49,2.78566904618502e-48,4.456752966695754e-48
12,300,2.238793674143426e-48,1.44351635578198e-48,1.013159268631623e-48,3.646213349330299e-48,5.812695402981699e-48
13,500,3.34685778650196e-48,2.1472041276339437e-48,1.514138261633021e-48,5.46749118031299e-48,8.709907350944313e-48
14,1000,6.335943737171751e-48,4.081978624689672e-48,3.0553017500656546e-48,1.0199766370467487e-47,1.6105399833721192e-47
15,2000,1.2104079939190596e-47,7.811906689033032e-48,5.3679602686513415e-48,1.9472691946676128e-47,3.0953655719429475e-47
16,5000,2.935019659814562e-47,1.8712266083898875e-47,1.3115469704248375e-47,4.763563750931536e-47,7.552951180838382e-47
17,10000,5.816595994160591e-47,3.7006350680795326e-47,2.6061849481388267e-47,9.441637525201488e-47,1.497439428717007e-46
